Designator,Mid X,Mid Y,Rotation,Layer
A1,41.076597,-64.208804,0.0,top
D1,77.390714,-99.417307,90.0,bottom
D10,167.87829,-99.417307,90.0,bottom
D11,172.640794,-99.417307,90.0,bottom
D12,186.928306,-99.417307,90.0,bottom
D13,191.69081,-99.417307,90.0,bottom
D14,205.978322,-99.417307,90.0,bottom
D15,210.740826,-99.417307,90.0,bottom
D16,225.028338,-99.417307,90.0,bottom
D17,81.557905,-65.484466,90.0,bottom
D18,119.657937,-65.484466,90.0,bottom
D19,157.757969,-65.484466,90.0,bottom
D2,91.678226,-99.417307,90.0,bottom
D20,195.858001,-65.484466,90.0,bottom
D21,81.557905,-84.534482,90.0,bottom
D22,119.657937,-84.534482,90.0,bottom
D23,157.757969,-84.534482,90.0,bottom
D24,195.858001,-84.534482,90.0,bottom
D25,100.607921,-65.484466,90.0,bottom
D26,138.707953,-65.484466,90.0,bottom
D27,176.807985,-65.484466,90.0,bottom
D28,214.908017,-65.484466,90.0,bottom
D29,100.607921,-84.534482,90.0,bottom
D3,96.44073,-99.417307,90.0,bottom
D30,138.707953,-84.534482,90.0,bottom
D31,176.807985,-84.534482,90.0,bottom
D32,214.908017,-84.534482,90.0,bottom
D4,110.728242,-99.417307,90.0,bottom
D5,115.490746,-99.417307,90.0,bottom
D6,129.778258,-99.417307,90.0,bottom
D7,134.540762,-99.417307,90.0,bottom
D8,148.828274,-99.417307,90.0,bottom
D9,153.590778,-99.417307,90.0,bottom
SW1,84.284446,-45.839117,0.0,top
SW10,141.434446,-45.839117,0.0,top
SW11,198.834446,-62.799117,0.0,top
SW12,198.834446,-81.849117,0.0,top
SW13,160.484446,-45.839117,0.0,top
SW14,103.584446,-62.799117,0.0,top
SW15,103.584446,-81.849117,0.0,top
SW16,179.534446,-45.839117,0.0,top
SW17,141.684446,-62.799117,0.0,top
SW18,141.684446,-81.849117,0.0,top
SW19,198.584446,-45.839117,0.0,top
SW2,84.534446,-62.799117,0.0,top
SW20,179.784446,-62.799117,0.0,top
SW21,179.784446,-81.849117,0.0,top
SW22,217.634446,-45.839117,0.0,top
SW23,217.884446,-62.799117,0.0,top
SW24,217.884446,-81.849117,0.0,top
SW3,84.534446,-81.849117,0.0,top
SW4,103.334446,-45.839117,0.0,top
SW5,122.634446,-62.799117,0.0,top
SW6,122.634446,-81.849117,0.0,top
SW7,122.384446,-45.839117,0.0,top
SW8,160.734446,-62.799117,0.0,top
SW9,160.734446,-81.849117,0.0,top
U1,75.009438,-139.303242,90.0,top
U3,68.573499,-57.150048,270.0,top
VR1,84.534446,-126.801617,90.0,top
VR2,103.584446,-126.801617,90.0,top
VR3,122.634446,-126.801617,90.0,top
VR4,141.684446,-126.801617,90.0,top
VR5,160.734446,-126.801617,90.0,top
VR6,179.784446,-126.801617,90.0,top
VR7,198.834446,-126.801617,90.0,top
VR8,217.884446,-126.801617,90.0,top
